Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
txn_6421134,sandwich,4,4.0,16.0,cash,takeaway,2023-11-03
txn_8813311,juice,5,3.0,15.0,,in-store,2023-10-07
txn_9023317,salad,1,5.0,5.0,,,2023-09-30
txn_8051289,,1,3.0,3.0,,in-store,2023-10-09
txn_2537617,sandwich,1,4.0,4.0,cash,,2023-05-27
txn_9099694,unknown,3,5.0,15.0,,takeaway,2023-11-18
txn_9230615,smoothie,4,4.0,16.0,digital wallet,,2023-06-01
txn_4987129,sandwich,3,,,,in-store,2023-10-20
txn_8501819,juice,,3.0,6.0,cash,,2023-03-30
txn_3068204,cookie,1,1.0,1.0,credit card,takeaway,2023-10-03
txn_8427104,salad,2,,10.0,,in-store,2023-10-27
txn_8471743,error,5,3.0,15.0,digital wallet,in-store,2023-04-06
txn_2621580,tea,2,1.5,3.0,cash,in-store,2023-03-22
txn_4726376,cake,2,3.0,6.0,credit card,in-store,2023-01-31
txn_6044979,,1,1.0,1.0,cash,in-store,2023-12-08
txn_4238417,salad,2,5.0,10.0,,error,2023-06-19
txn_1900620,smoothie,2,4.0,8.0,credit card,error,2023-12-14
txn_6420335,coffee,1,2.0,2.0,cash,takeaway,2023-07-16
txn_3858209,sandwich,4,4.0,16.0,cash,,2023-02-22
txn_2091733,salad,1,5.0,5.0,,in-store,
txn_8735480,tea,5,1.5,7.5,cash,,2023-06-02
txn_3829165,juice,4,3.0,12.0,cash,in-store,2023-06-15
txn_3748616,coffee,2,2.0,4.0,credit card,in-store,2023-12-09
txn_1993289,sandwich,2,4.0,8.0,,in-store,2023-04-18
txn_2123367,cookie,2,1.0,2.0,,,2023-11-07
txn_5266394,cake,3,3.0,9.0,cash,in-store,2023-10-28
txn_5107946,cake,4,3.0,12.0,credit card,,2023-12-22
txn_8035512,tea,3,,4.5,cash,unknown,2023-10-29
txn_8718498,cake,5,3.0,15.0,credit card,error,2023-04-30
txn_3955361,cookie,5,1.0,5.0,,takeaway,2023-04-02
txn_9487821,error,1,5.0,5.0,digital wallet,takeaway,2023-05-24
txn_4132730,,5,1.0,5.0,,in-store,2023-03-12
txn_8976658,tea,2,1.5,3.0,credit card,in-store,2023-08-16
txn_5455936,unknown,5,3.0,15.0,,in-store,2023-10-28
txn_2725602,juice,5,3.0,15.0,credit card,,2023-09-10
txn_3011323,coffee,3,2.0,6.0,credit card,,2023-03-07
txn_6289610,juice,3,3.0,,cash,takeaway,2023-08-07
txn_8268061,salad,3,5.0,15.0,error,takeaway,2023-08-20
txn_5220895,salad,5,5.0,25.0,cash,in-store,2023-06-10
txn_3085509,coffee,4,2.0,8.0,digital wallet,in-store,2023-04-15
txn_9999113,juice,4,3.0,12.0,cash,takeaway,2023-05-27
txn_8779771,coffee,4,2.0,8.0,cash,in-store,2023-07-25
txn_9517146,,5,5.0,25.0,cash,takeaway,2023-10-30
txn_1621920,salad,3,5.0,15.0,,takeaway,2023-10-28
txn_3808639,juice,2,3.0,6.0,digital wallet,takeaway,2023-12-15
txn_7028009,cake,4,3.0,12.0,,takeaway,
txn_7447872,juice,2,,6.0,,,
txn_6955416,salad,4,5.0,20.0,error,in-store,2023-02-25
txn_3775339,cookie,3,1.0,3.0,credit card,unknown,2023-04-03
txn_9547091,cookie,3,1.0,3.0,credit card,,2023-10-08
txn_4358673,cookie,5,1.0,5.0,digital wallet,takeaway,2023-12-28
txn_4174591,tea,4,1.5,6.0,digital wallet,,2023-08-30
txn_3398520,sandwich,1,4.0,4.0,,in-store,2023-02-03
txn_6171384,smoothie,2,4.0,8.0,credit card,,2023-09-12
txn_2530938,smoothie,5,4.0,20.0,,takeaway,2023-04-27
txn_3314971,juice,3,3.0,9.0,digital wallet,,2023-05-04
txn_3092382,coffee,5,2.0,10.0,digital wallet,,2023-02-21
txn_1001832,salad,2,5.0,10.0,cash,takeaway,
txn_1535311,juice,3,3.0,9.0,cash,,2023-03-16
txn_2148617,juice,error,3.0,9.0,digital wallet,unknown,2023-01-10
txn_4633784,error,5,,15.0,,in-store,2023-02-06
txn_4368416,salad,2,5.0,10.0,credit card,takeaway,2023-02-24
txn_9790731,cake,2,3.0,6.0,unknown,,2023-06-02
txn_9339456,coffee,3,2.0,6.0,,takeaway,2023-03-29
txn_5179020,cake,2,3.0,6.0,,takeaway,2023-06-18
txn_6258471,coffee,5,2.0,10.0,digital wallet,in-store,2023-09-23
txn_7945375,juice,3,3.0,9.0,,,2023-01-14
txn_4685453,tea,4,1.5,6.0,cash,in-store,2023-09-14
txn_9646452,juice,5,3.0,15.0,credit card,,2023-09-16
txn_9096052,smoothie,4,4.0,16.0,credit card,takeaway,2023-12-28
txn_5916991,juice,2,3.0,6.0,digital wallet,takeaway,2023-02-06
txn_3407169,sandwich,2,4.0,8.0,cash,in-store,2023-03-11
txn_2277042,tea,1,1.5,1.5,cash,,2023-04-08
txn_9273729,tea,1,1.5,1.5,,,2023-12-19
txn_2181545,juice,4,3.0,12.0,credit card,takeaway,2023-07-14
txn_1150033,juice,5,3.0,15.0,cash,in-store,2023-04-18
txn_1443912,juice,2,3.0,6.0,,,2023-06-08
txn_8700451,tea,5,1.5,7.5,credit card,takeaway,2023-12-12
txn_6380550,coffee,5,2.0,10.0,cash,in-store,2023-01-05
txn_4885518,salad,3,5.0,15.0,credit card,in-store,2023-06-10
txn_3972167,sandwich,5,4.0,20.0,,in-store,2023-01-23
txn_4878378,tea,1,1.5,1.5,credit card,,2023-02-20
txn_2484241,cake,3,,9.0,digital wallet,,2023-07-19
txn_2368126,cake,5,3.0,15.0,,in-store,2023-12-06
txn_7943008,coffee,1,2.0,2.0,credit card,,
txn_8495063,juice,1,3.0,,cash,,2023-05-31
txn_4811133,salad,2,5.0,10.0,cash,,2023-08-11
txn_8729570,tea,5,1.5,7.5,unknown,in-store,2023-09-03
txn_7623634,cake,2,3.0,,credit card,in-store,2023-07-11
txn_9336980,salad,4,,20.0,cash,in-store,2023-06-06
txn_3424331,cake,4,3.0,12.0,,,2023-01-18
txn_5072031,cake,2,3.0,6.0,cash,takeaway,2023-03-23
txn_8687151,salad,5,5.0,25.0,cash,,2023-06-10
txn_4031509,,4,,16.0,credit card,takeaway,2023-01-04
txn_5265095,coffee,1,2.0,2.0,error,,2023-06-23
txn_6541415,unknown,unknown,3.0,12.0,cash,in-store,2023-11-25
txn_4108138,coffee,5,2.0,10.0,cash,,2023-08-03
txn_1909796,smoothie,2,4.0,8.0,,takeaway,2023-07-12
txn_1928241,coffee,3,2.0,6.0,cash,in-store,2023-04-30
txn_4283157,salad,5,5.0,25.0,digital wallet,in-store,2023-11-25
txn_8013032,coffee,2,2.0,4.0,credit card,,2023-03-07
txn_8301424,juice,2,3.0,6.0,,error,2023-06-27
txn_1093800,sandwich,3,4.0,12.0,cash,takeaway,
txn_7965998,juice,1,,3.0,credit card,in-store,2023-11-02
txn_9238666,cookie,1,,1.0,error,takeaway,2023-07-31
txn_1631695,tea,2,1.5,3.0,,in-store,2023-09-19
txn_1435086,cake,5,,15.0,,error,2023-02-09
txn_3226832,unknown,5,4.0,20.0,cash,unknown,2023-09-04
txn_1648671,sandwich,3,4.0,12.0,cash,takeaway,2023-05-21
txn_4062737,cake,3,3.0,9.0,cash,in-store,2023-07-02
txn_3494565,,2,4.0,8.0,error,,2023-07-10
txn_9249507,cookie,4,1.0,4.0,credit card,in-store,2023-11-21
txn_4689500,sandwich,4,4.0,16.0,,,2023-12-02
txn_8989148,tea,2,1.5,,,,2023-11-25
txn_8316826,coffee,3,2.0,6.0,,in-store,2023-04-17
txn_9836934,cookie,3,1.0,3.0,digital wallet,in-store,2023-03-13
txn_8005489,cake,3,3.0,9.0,,in-store,2023-08-12
txn_6463132,cookie,5,1.0,5.0,credit card,takeaway,
txn_3925836,cookie,3,1.0,3.0,digital wallet,in-store,2023-02-16
txn_1896955,salad,error,5.0,25.0,,in-store,2023-09-23
txn_5075974,smoothie,error,4.0,16.0,digital wallet,,2023-04-11
txn_3978874,smoothie,5,4.0,20.0,credit card,in-store,2023-03-13
txn_8955912,sandwich,1,4.0,4.0,,,2023-11-07
txn_1136554,smoothie,3,4.0,12.0,unknown,takeaway,2023-03-26
txn_8007337,cake,2,3.0,6.0,digital wallet,takeaway,2023-11-01
txn_8129834,salad,1,5.0,5.0,cash,,2023-07-22
txn_3831848,unknown,1,4.0,4.0,digital wallet,takeaway,2023-11-03
txn_5365809,cake,3,3.0,9.0,cash,in-store,2023-09-14
txn_8166407,smoothie,2,,8.0,,,2023-07-26
txn_6629480,smoothie,5,4.0,20.0,credit card,in-store,2023-02-28
txn_3833797,coffee,4,2.0,8.0,unknown,in-store,2023-01-27
txn_2643815,cookie,unknown,1.0,3.0,error,,2023-12-06
txn_2996519,cake,5,3.0,15.0,cash,,2023-01-19
txn_8810894,smoothie,1,4.0,4.0,,,2023-02-20
txn_7412722,juice,4,3.0,12.0,cash,in-store,2023-04-07
txn_3937509,smoothie,2,4.0,8.0,,in-store,2023-03-20
txn_6000201,cookie,3,1.0,3.0,cash,takeaway,2023-02-16
txn_1714274,cookie,4,1.0,4.0,,in-store,2023-12-27
txn_3800182,tea,2,,3.0,cash,in-store,2023-10-26
txn_5115080,,5,3.0,15.0,credit card,,2023-02-18
txn_9788956,juice,error,3.0,12.0,error,,2023-04-11
txn_6311602,juice,3,3.0,9.0,credit card,,2023-05-15
txn_2950680,coffee,2,2.0,4.0,credit card,takeaway,2023-12-10
txn_6749847,cake,2,3.0,6.0,credit card,,2023-08-15
txn_2143187,smoothie,1,4.0,4.0,,in-store,2023-04-21
txn_8964522,,3,3.0,9.0,credit card,takeaway,2023-10-28
txn_4088917,coffee,3,2.0,6.0,cash,takeaway,2023-02-04
txn_3779366,cookie,1,1.0,1.0,digital wallet,in-store,2023-04-15
txn_7724048,smoothie,1,4.0,4.0,error,in-store,2023-11-12
txn_2698591,tea,5,1.5,7.5,,,2023-08-05
txn_3171373,smoothie,3,4.0,12.0,credit card,in-store,2023-05-10
txn_4129248,sandwich,2,4.0,8.0,credit card,,
txn_6498163,smoothie,5,4.0,20.0,,in-store,2023-07-15
txn_6717827,error,3,5.0,15.0,digital wallet,,2023-11-15
txn_9089898,salad,3,,15.0,credit card,,2023-01-11
txn_8587583,cake,1,,3.0,,,2023-10-01
txn_8693704,salad,error,5.0,25.0,cash,in-store,2023-05-04
txn_3857960,salad,4,5.0,20.0,cash,in-store,2023-04-26
txn_3499124,error,4,4.0,16.0,credit card,,2023-08-25
txn_9250710,salad,1,5.0,5.0,cash,in-store,2023-05-28
txn_7058377,juice,1,3.0,3.0,,takeaway,2023-04-30
txn_6766492,salad,1,5.0,5.0,,error,2023-01-14
txn_9879996,coffee,4,2.0,8.0,digital wallet,in-store,2023-03-01
txn_4291940,cake,3,3.0,9.0,credit card,in-store,2023-11-13
txn_7433461,cookie,2,1.0,2.0,digital wallet,,2023-07-09
txn_4068262,salad,2,5.0,10.0,credit card,,2023-05-13
txn_5761073,cookie,1,1.0,1.0,cash,in-store,
txn_5047447,salad,1,5.0,5.0,digital wallet,takeaway,2023-12-27
txn_6623508,cookie,5,1.0,5.0,digital wallet,takeaway,2023-05-18
txn_2651216,unknown,3,4.0,12.0,,,2023-04-04
txn_9350833,cake,1,,3.0,cash,takeaway,2023-01-17
txn_8377564,cake,5,3.0,15.0,,in-store,2023-07-14
txn_7031118,salad,1,5.0,5.0,credit card,error,2023-03-29
txn_2230167,cake,4,3.0,12.0,digital wallet,takeaway,2023-09-22
txn_6446616,tea,3,1.5,4.5,error,,2023-09-30
txn_1721827,cake,4,3.0,12.0,digital wallet,error,2023-08-22
txn_6334895,smoothie,1,4.0,4.0,credit card,error,2023-07-27
txn_7077119,error,1,4.0,4.0,digital wallet,in-store,2023-12-30
txn_8562645,salad,error,5.0,,,in-store,2023-05-18
txn_4700144,coffee,4,2.0,8.0,,in-store,2023-12-21
txn_5526852,sandwich,5,4.0,,digital wallet,in-store,2023-09-28
txn_6846228,salad,3,,15.0,,in-store,2023-11-16
txn_8570890,juice,4,3.0,12.0,,,2023-04-14
txn_3205009,error,2,1.5,3.0,cash,in-store,2023-01-03
txn_3786188,tea,3,1.5,4.5,credit card,in-store,2023-10-20
txn_4530804,coffee,4,2.0,8.0,,,2023-01-12
txn_9642066,sandwich,3,4.0,12.0,credit card,in-store,2023-08-31
txn_7328294,juice,2,3.0,6.0,cash,,2023-07-07
txn_1908636,tea,2,1.5,3.0,,unknown,
txn_9238066,,5,1.5,7.5,digital wallet,in-store,2023-09-15
txn_5415901,cake,2,3.0,6.0,digital wallet,,2023-10-21
txn_6714420,error,2,3.0,6.0,credit card,takeaway,2023-03-30
txn_6616971,juice,2,3.0,6.0,digital wallet,takeaway,2023-09-02
txn_7803615,salad,3,5.0,15.0,cash,in-store,2023-12-13
txn_7549542,cookie,5,1.0,5.0,,takeaway,
txn_3544789,tea,4,1.5,,unknown,in-store,2023-07-14
txn_1583597,salad,1,5.0,5.0,cash,in-store,2023-05-10
txn_8472308,cookie,2,1.0,2.0,digital wallet,takeaway,2023-08-19
txn_1967565,smoothie,5,4.0,20.0,credit card,takeaway,2023-03-31
txn_2029497,sandwich,2,4.0,8.0,cash,takeaway,2023-01-06
txn_8929774,error,3,3.0,9.0,cash,,2023-10-02
txn_5003018,cookie,4,1.0,,digital wallet,,
txn_7852990,sandwich,5,4.0,20.0,digital wallet,takeaway,2023-07-10
txn_2534066,salad,2,5.0,10.0,cash,,2023-10-13
txn_2059647,tea,1,1.5,1.5,digital wallet,in-store,2023-05-29
txn_2485183,smoothie,5,4.0,20.0,cash,in-store,2023-07-07
txn_7374846,sandwich,1,4.0,4.0,credit card,unknown,2023-05-29
txn_9401522,sandwich,4,4.0,16.0,digital wallet,in-store,2023-11-16
txn_8250651,sandwich,4,4.0,16.0,digital wallet,in-store,2023-03-13
txn_7191245,cake,4,3.0,12.0,,takeaway,2023-05-22
txn_8982764,cake,5,3.0,15.0,digital wallet,takeaway,2023-11-23
txn_8669422,,4,3.0,12.0,cash,takeaway,2023-10-15
txn_1153869,smoothie,5,4.0,20.0,credit card,takeaway,2023-11-03
txn_5043774,sandwich,3,4.0,12.0,cash,,2023-06-08
txn_1746320,salad,1,5.0,5.0,cash,,2023-11-14
txn_1077129,cookie,1,1.0,1.0,,in-store,2023-09-12
txn_4865338,sandwich,unknown,4.0,16.0,,in-store,2023-11-26
txn_5616583,smoothie,1,4.0,4.0,,,2023-10-13
txn_2078474,cookie,2,1.0,2.0,,takeaway,2023-11-03
txn_2130245,smoothie,5,4.0,20.0,credit card,,2023-11-13
txn_3229409,juice,unknown,3.0,,cash,takeaway,2023-04-15
txn_9076216,cake,1,3.0,3.0,cash,,2023-12-17
txn_6371987,tea,5,1.5,,unknown,takeaway,2023-03-13
txn_9913877,error,2,2.0,4.0,credit card,,2023-05-09
txn_2084377,smoothie,1,4.0,4.0,credit card,error,2023-10-22
txn_1842675,error,4,1.0,4.0,credit card,takeaway,2023-06-23
txn_8605813,cookie,1,1.0,1.0,,,2023-06-30
txn_9755352,sandwich,5,4.0,20.0,,in-store,2023-05-13
txn_7550498,juice,5,3.0,15.0,,in-store,
txn_2305908,coffee,unknown,2.0,8.0,cash,,2023-04-25
txn_6953697,unknown,3,4.0,12.0,,takeaway,2023-05-27
txn_3495950,,4,,6.0,credit card,in-store,2023-02-19
txn_7557340,tea,5,1.5,7.5,credit card,in-store,2023-12-11
txn_1157817,smoothie,1,4.0,4.0,digital wallet,in-store,2023-04-25
txn_2020318,tea,3,1.5,4.5,digital wallet,in-store,2023-10-12
txn_8692094,coffee,5,2.0,10.0,,takeaway,2023-08-30
txn_5307411,cake,3,3.0,,digital wallet,takeaway,2023-10-21
txn_9703120,coffee,3,2.0,6.0,credit card,,2023-11-02
txn_1289133,juice,1,3.0,3.0,cash,unknown,2023-09-19
txn_2031459,cake,3,3.0,9.0,cash,takeaway,2023-07-04
txn_1333682,smoothie,1,4.0,4.0,digital wallet,,2023-01-28
txn_2256622,cookie,2,,2.0,cash,in-store,2023-10-04
txn_1623966,tea,2,1.5,3.0,cash,takeaway,
txn_4912930,smoothie,3,4.0,12.0,credit card,in-store,2023-02-26
txn_4942692,coffee,2,2.0,4.0,,takeaway,2023-01-15
txn_3723007,tea,3,1.5,4.5,digital wallet,in-store,2023-05-18
txn_7922392,sandwich,3,4.0,12.0,,,2023-05-03
txn_7498727,salad,3,5.0,15.0,cash,,2023-11-06
txn_1222338,cookie,1,1.0,1.0,,in-store,2023-10-11
txn_6878866,smoothie,3,4.0,12.0,credit card,,2023-02-25
txn_1260335,cookie,4,1.0,4.0,digital wallet,in-store,
txn_9223242,smoothie,2,4.0,8.0,,,2023-09-10
txn_6244211,smoothie,2,4.0,8.0,,,2023-08-11
txn_5446858,,1,1.0,1.0,cash,in-store,2023-11-07
txn_4612864,tea,3,1.5,4.5,,,2023-02-14
txn_5411381,cookie,error,1.0,1.0,,,2023-04-28
txn_3047598,cookie,1,1.0,1.0,,,2023-09-06
txn_5754317,coffee,2,,4.0,credit card,takeaway,2023-01-10
txn_7496926,sandwich,3,4.0,12.0,error,in-store,2023-04-23
txn_1726858,smoothie,3,4.0,12.0,cash,in-store,
txn_7559388,salad,4,5.0,20.0,digital wallet,takeaway,2023-02-26
txn_8540499,cookie,3,1.0,3.0,cash,in-store,2023-01-22
txn_4225756,cookie,3,1.0,3.0,,in-store,2023-03-10
txn_6795640,cookie,4,1.0,4.0,digital wallet,takeaway,2023-01-28
txn_6702428,coffee,5,2.0,10.0,cash,takeaway,2023-08-11
txn_8955259,error,2,4.0,8.0,credit card,,2023-11-18
txn_4639319,coffee,5,2.0,10.0,cash,,2023-01-09
txn_5997803,coffee,5,2.0,10.0,,in-store,2023-12-03
txn_1340956,error,4,2.0,8.0,,,2023-10-26
txn_1259671,sandwich,unknown,4.0,12.0,digital wallet,in-store,2023-10-08
txn_8319993,juice,1,3.0,3.0,digital wallet,,2023-08-06
txn_8894157,sandwich,4,4.0,16.0,credit card,,
txn_5523450,salad,5,5.0,25.0,credit card,takeaway,2023-07-02
txn_7838964,sandwich,3,4.0,12.0,credit card,in-store,2023-06-15
txn_2773987,smoothie,5,4.0,20.0,error,,2023-01-11
txn_1158829,tea,1,,1.5,credit card,,2023-10-02
txn_2523298,,4,,6.0,error,in-store,2023-03-25
txn_8685737,smoothie,2,4.0,8.0,,in-store,2023-11-02
txn_5634135,cookie,2,,2.0,,error,2023-01-27
txn_1524626,smoothie,2,4.0,8.0,digital wallet,,2023-12-29
txn_7275407,smoothie,2,4.0,8.0,digital wallet,in-store,2023-10-20
txn_2889622,juice,4,3.0,12.0,credit card,,2023-11-01
txn_6849113,cookie,error,1.0,1.0,credit card,,2023-07-14
txn_2265316,cookie,,1.0,3.0,credit card,in-store,2023-12-29
txn_9472241,salad,3,5.0,15.0,cash,takeaway,2023-06-30
txn_7345414,salad,1,,5.0,,unknown,2023-02-15
txn_4473352,cake,1,3.0,3.0,unknown,in-store,2023-11-16
txn_2814363,tea,2,1.5,3.0,,,2023-07-02
txn_1846004,juice,3,3.0,9.0,cash,in-store,2023-05-21
txn_7140471,cake,1,3.0,3.0,credit card,,2023-05-25
txn_3119542,smoothie,1,4.0,4.0,credit card,,2023-10-31
txn_7773968,sandwich,5,4.0,20.0,digital wallet,takeaway,2023-02-24
txn_9081088,tea,2,1.5,3.0,cash,takeaway,2023-02-27
txn_8559167,sandwich,5,4.0,,unknown,takeaway,2023-12-09
txn_1130191,smoothie,2,4.0,8.0,cash,in-store,2023-04-06
txn_5215451,sandwich,5,4.0,20.0,digital wallet,,2023-11-02
txn_1040764,coffee,3,2.0,6.0,cash,takeaway,2023-07-27
txn_5457133,juice,5,3.0,15.0,error,in-store,2023-03-03
txn_8365478,,3,4.0,12.0,cash,takeaway,2023-02-06
txn_2100697,coffee,3,2.0,6.0,digital wallet,takeaway,2023-09-19
txn_7676968,smoothie,4,4.0,16.0,unknown,in-store,2023-02-21
txn_5726998,cake,3,3.0,9.0,credit card,,2023-08-12
txn_4134594,sandwich,3,4.0,12.0,digital wallet,in-store,2023-09-27
txn_5079340,cookie,4,1.0,4.0,cash,in-store,2023-08-18
txn_8276635,,4,4.0,16.0,digital wallet,takeaway,2023-12-16
txn_1380601,tea,4,1.5,6.0,digital wallet,in-store,2023-03-11
txn_3959152,juice,1,3.0,3.0,,in-store,2023-05-21
txn_7776739,tea,2,1.5,3.0,,takeaway,2023-02-23
txn_7569615,error,2,3.0,6.0,cash,takeaway,2023-06-07
txn_8703771,cake,5,3.0,15.0,,in-store,2023-05-12
txn_2052395,smoothie,3,4.0,12.0,credit card,in-store,2023-07-06
txn_9421441,,2,4.0,8.0,cash,,2023-06-20
txn_9065402,unknown,1,5.0,5.0,cash,takeaway,2023-12-22
txn_3638955,cookie,2,,2.0,cash,takeaway,2023-09-02
txn_2635532,error,4,4.0,16.0,cash,takeaway,2023-01-14
txn_8256593,salad,2,5.0,10.0,digital wallet,takeaway,2023-08-09
txn_9271457,cake,3,3.0,9.0,digital wallet,in-store,2023-02-27
txn_5392603,coffee,1,2.0,2.0,cash,in-store,2023-05-14
txn_6319728,coffee,,2.0,4.0,credit card,in-store,2023-07-18
txn_9263299,cookie,2,1.0,2.0,credit card,takeaway,2023-10-08
txn_2301505,cake,5,3.0,15.0,digital wallet,,2023-03-21
txn_5895177,cake,5,3.0,15.0,,,2023-08-16
txn_8751516,tea,3,1.5,4.5,cash,takeaway,
txn_8147357,tea,5,1.5,7.5,,takeaway,2023-04-20
txn_1436343,cookie,1,1.0,1.0,credit card,in-store,2023-11-26
txn_2214698,salad,4,5.0,20.0,credit card,,2023-10-10
txn_7480234,salad,1,5.0,5.0,cash,takeaway,2023-05-10
txn_3283097,error,5,2.0,10.0,cash,takeaway,2023-02-28
txn_2633602,unknown,2,3.0,6.0,digital wallet,in-store,2023-02-02
txn_3093219,juice,5,3.0,,cash,,2023-01-28
txn_3515730,,1,1.0,1.0,credit card,,2023-08-14
txn_3665733,coffee,5,2.0,10.0,cash,takeaway,
txn_4010658,tea,5,1.5,7.5,,,2023-09-26
txn_1454467,juice,3,3.0,9.0,cash,in-store,2023-03-15
txn_2598728,cake,2,3.0,6.0,credit card,,2023-01-13
txn_3390285,tea,2,1.5,3.0,,takeaway,2023-02-06
txn_8224079,cookie,5,1.0,5.0,cash,in-store,2023-10-16
txn_1916339,cake,1,3.0,3.0,cash,in-store,2023-07-15
txn_8611035,sandwich,5,4.0,20.0,digital wallet,in-store,2023-05-28
txn_3595735,tea,4,1.5,6.0,digital wallet,takeaway,2023-03-26
txn_4884822,cookie,1,1.0,1.0,credit card,,2023-04-23
txn_3668051,cake,1,3.0,3.0,unknown,unknown,2023-11-17
txn_6169633,salad,4,5.0,20.0,credit card,takeaway,2023-12-20
txn_3884811,coffee,4,2.0,8.0,credit card,,2023-06-10
txn_7050740,error,1,3.0,3.0,cash,takeaway,2023-07-12
txn_1234097,cookie,4,,4.0,cash,,2023-12-04
txn_4518102,tea,5,1.5,7.5,credit card,in-store,2023-02-08
txn_5939055,coffee,3,2.0,,error,takeaway,2023-10-21
txn_7809183,error,4,1.0,4.0,digital wallet,takeaway,2023-09-08
txn_6071202,error,1,1.0,1.0,cash,in-store,2023-06-07
txn_8158496,tea,4,1.5,6.0,cash,,2023-06-19
txn_2726848,cake,5,3.0,,credit card,,2023-09-11
txn_3666858,cake,4,3.0,12.0,credit card,in-store,2023-12-27
txn_5499915,cookie,2,1.0,2.0,digital wallet,takeaway,2023-02-01
txn_4660753,juice,,3.0,3.0,credit card,takeaway,2023-10-04
txn_8089522,sandwich,4,,16.0,cash,takeaway,2023-02-12
txn_1564754,salad,3,5.0,15.0,digital wallet,in-store,2023-03-14
